sample,date,laboratory,site,stratigraphy,artefact,part,decoration,LOI,CaO,Fe2O3,TiO2,K2O,SiO2,Al2O3,MgO,MnO,Na2O,P2O5,Zr,Sr,Rb,Zn,Cr,Ni,La,Ba,V,Ce,Y,Th,Pb,Cu
BDX15665,2013-09-09,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,cup,body,1,7.37,15.9500,4.8000,0.9660,1.9500,50.5200,21.2300,3.7700,0.0413,0.0000,0.1600,191,465,105,63,87,36,50,422,122,98,31,12,34,25
BDX15666,2013-09-10,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,storage jar,rim,0,6.09,13.9300,4.6300,1.0870,1.7400,52.7400,22.7300,2.6600,0.0340,0.0000,0.1600,216,493,99,47,87,31,57,356,106,107,28,12,44,23
BDX15667,2013-09-10,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,storage jar,rim,0,7.02,15.1200,5.2300,1.0510,1.8600,51.7500,21.3800,2.7800,0.0409,0.0000,0.1900,214,486,102,56,88,31,42,497,108,101,30,12,33,19
BDX15668,2013-09-10,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,cup,rim,1,4.92,16.0800,5.2800,0.9810,1.8400,49.8900,21.0800,3.3900,0.0450,0.0000,0.1700,200,376,101,59,89,33,71,366,114,122,28,14,35,25
BDX15669,2013-09-10,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",21041,goblet,rim,0,8.19,14.7800,5.2800,1.0560,1.7900,51.9300,21.2500,3.4300,0.0379,0.0000,0.1700,208,597,93,53,88,29,67,435,118,103,28,11,30,24
BDX17435,2016-04-29,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12138,storage jar,body,0,0.85,15.5300,4.1400,1.0250,1.8500,52.0500,20.4300,3.0800,0.0409,0.0000,0.1800,250,291,107,53,100,33,75,339,105,184,45,12,26,33
BDX17435,2016-04-29,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12138,storage jar,body,0,0.85,15.5300,4.1400,1.0260,1.8400,51.9700,20.4500,3.0900,0.0412,0.0000,0.1800,249,291,107,53,101,33,75,335,107,179,44,12,28,34
BDX17435,2016-04-29,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12138,storage jar,body,0,0.85,15.5500,4.1400,1.0280,1.8500,52.0100,20.4200,3.0800,0.0411,0.0000,0.1800,250,291,107,53,100,32,83,341,105,185,45,15,26,32
BDX17434,2016-04-29,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12138,storage jar,body,0,0.77,15.5500,4.0900,1.0100,1.8300,51.5900,20.2100,3.0800,0.0410,0.0000,0.1800,240,279,104,52,104,31,87,338,102,228,43,13,25,28
BDX17434,2016-04-29,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12138,storage jar,body,0,0.77,15.5500,4.0900,1.0090,1.8300,51.6300,20.2000,3.0800,0.0411,0.0000,0.1800,239,278,103,52,103,30,87,333,102,229,44,15,25,28
BDX17434,2016-04-29,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",12138,storage jar,body,0,0.77,15.5600,4.0900,1.0110,1.8300,51.6200,20.2200,3.0900,0.0413,0.0000,0.1800,240,279,104,52,105,31,83,352,109,226,43,14,24,27
BDX17433,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,common ware,body,0,0.75,16.4700,4.3500,0.9930,1.9400,50.2600,21.1400,3.0000,0.0400,0.0800,0.1900,229,313,103,41,94,37,87,337,107,183,28,15,0,35
BDX17433,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,common ware,body,0,0.75,16.4800,4.3500,0.9920,1.9400,50.2300,21.1500,2.9900,0.0401,0.0800,0.1900,228,313,102,42,94,37,84,345,111,184,29,13,0,37
BDX17433,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,common ware,body,0,0.75,16.4700,4.3500,0.9910,1.9400,50.2400,21.1300,2.9900,0.0400,0.0800,0.1900,228,313,104,41,93,35,84,347,110,184,28,13,0,36
BDX17432,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.50,16.7100,5.5000,1.0030,1.2300,49.3400,20.4800,3.4000,0.0439,0.6900,0.2200,220,324,96,54,95,32,63,398,105,145,27,15,15,27
BDX17432,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.50,16.7200,5.5000,1.0050,1.2300,49.3000,20.4900,3.4000,0.0436,0.6900,0.2200,219,324,96,54,95,30,49,396,101,147,27,13,13,27
BDX17432,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.50,16.7400,5.5000,1.0040,1.2300,49.4000,20.5400,3.4000,0.0436,0.6900,0.2200,220,323,96,54,93,31,56,393,104,152,27,12,14,25
BDX17431,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.87,15.7600,5.6800,1.0390,2.0900,49.8400,20.6500,3.3800,0.0452,0.1500,0.2100,228,345,114,64,101,34,61,391,91,115,30,14,22,32
BDX17431,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.87,15.7800,5.6800,1.0410,2.0900,49.8300,20.7000,3.3800,0.0451,0.1500,0.2100,228,345,114,63,102,33,61,382,95,122,28,13,22,30
BDX17431,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.87,15.7800,5.6800,1.0410,2.0900,49.9200,20.7000,3.3800,0.0453,0.1500,0.2100,228,347,113,64,102,35,63,378,93,125,28,12,24,32
BDX17430,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,common ware,body,0,1.18,18.5900,5.1400,0.8960,1.5700,48.8400,19.6200,3.3300,0.0459,0.3300,0.1900,218,327,104,53,88,34,94,377,98,215,29,11,18,26
BDX17430,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,common ware,body,0,1.18,18.6100,5.1400,0.8960,1.5700,48.8300,19.6100,3.3200,0.0459,0.3200,0.1900,218,327,105,53,88,34,96,372,98,220,28,14,21,25
BDX17430,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,common ware,body,0,1.18,18.6000,5.1400,0.8950,1.5700,48.7700,19.6000,3.3300,0.0456,0.3200,0.1900,218,327,105,53,88,34,96,372,95,218,27,11,20,26
BDX17429,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,rim,0,2.13,15.6500,5.5600,1.0120,2.1300,49.7400,20.5800,3.4000,0.0449,0.1300,0.2400,228,360,116,62,92,34,69,381,89,132,29,14,21,30
BDX17429,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,rim,0,2.13,15.6500,5.5500,1.0120,2.1300,49.7400,20.6100,3.4000,0.0452,0.1300,0.2400,228,361,117,62,90,35,51,390,93,125,28,14,24,29
BDX17429,2016-04-28,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,rim,0,2.13,15.6600,5.5500,1.0100,2.1300,49.7100,20.6000,3.3900,0.0450,0.1300,0.2400,228,359,117,63,92,34,55,378,92,134,28,15,25,30
BDX17428,2016-04-27,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.37,16.7700,5.5600,1.0030,1.3400,48.9000,20.4000,3.4300,0.0462,0.5800,0.2000,228,314,109,57,95,31,49,367,104,133,27,11,17,28
BDX17428,2016-04-27,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.37,16.7700,5.5500,1.0020,1.3300,48.8900,20.3500,3.4400,0.0465,0.5800,0.2000,228,313,109,57,95,30,54,373,100,139,27,13,18,27
BDX17428,2016-04-27,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,1.37,16.7900,5.5500,1.0030,1.3400,48.9200,20.3900,3.4300,0.0466,0.5800,0.2000,229,315,109,56,94,31,61,369,102,140,27,13,20,28
BDX22203,2016-04-30,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,0.64,13.9800,5.0700,1.1270,1.5500,51.1000,23.0300,2.6300,0.0323,0.0000,0.1300,230,260,90,42,99,33,58,286,109,106,28,16,27,27
BDX22203,2016-04-30,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,0.64,13.9700,5.0700,1.1280,1.5500,51.1800,23.0800,2.6300,0.0324,0.0000,0.1300,230,260,91,41,98,34,43,291,112,101,27,13,25,27
BDX22203,2016-04-30,ArAr (UMR 5138),"Mas de Moreno (Foz-Calanda, Teruel, Spain)",15227,cup,body,0,0.64,13.9700,5.0700,1.1280,1.5500,51.0600,23.0600,2.6400,0.0324,0.0000,0.1200,230,261,90,42,99,33,48,280,109,106,28,17,27,28
