"material","sample","date","laboratory","site","stratigraphy","artefact","part","decoration","LOI","CaO","Fe2O3","TiO2","K2O","SiO2","Al2O3","MgO","MnO","P2O5","Zr","Sr","Rb","Zn","Cr","Ni","La","Ba","V","Ce","Y","Cu","phase"
"18","céramique","BDX15049","2012-03-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",TRUE,3.16,14.16,4.79,1.068,1.78,52.34,22.58,2.85,0.0379,0.16,0.0228,0.0382,0.0104,0.0052,0.0087,0.0027,0.0057,0.0326,0.0095,0.0109,0.0031,0.0025,1
"19","céramique","BDX15050","2012-03-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","fond",TRUE,9.51,14.59,4.61,1.012,1.84,52.36,21.54,3.32,0.0357,0.17,0.0221,0.0689,0.0099,0.0058,0.0088,0.0028,0.0051,0.061,0.0098,0.0102,0.003,0.0018,1
"20","céramique","BDX15051","2012-03-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",FALSE,9.6,15.89,4.58,1.06,1.72,51.69,20.81,3.4,0.0374,0.14,0.0231,0.0643,0.0097,0.0051,0.0086,0.0018,0.0048,0.0576,0.0107,0.0088,0.0029,0.0018,1
"21","céramique","BDX15052","2012-03-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",TRUE,10.2,14.73,4,1.025,1.88,53.83,20.47,2.63,0.0366,0.16,0.0247,0.0651,0.0097,0.0054,0.0078,0.0024,0.0079,0.0537,0.0106,0.0197,0.0061,0.0023,1
"22","céramique","BDX15053","2012-03-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",FALSE,8.89,14.6,4.25,1.09,2.2,53.52,20.75,2.92,0.0455,0.21,0.0258,0.066,0.0128,0.0072,0.0097,0.0029,0.0066,0.0617,0.0155,0.0243,0.0145,0.0022,1
"23","céramique","BDX15054","2012-03-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","urn","rim",FALSE,17.76,14.34,4.91,0.954,1.85,50.41,21.31,5.36,0.0439,0.16,0.0205,0.0586,0.0099,0.0067,0.0082,0.003,0.0057,0.054,0.011,0.0117,0.0032,0.0028,1
"24","céramique","BDX15055","2012-03-12","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",FALSE,7.66,15.63,4.82,1.048,1.84,51.78,21.44,3.13,0.0389,0.17,0.0235,0.0554,0.0101,0.0053,0.0083,0.0022,0.0043,0.0517,0.01,0.0092,0.0031,0.0021,1
"25","céramique","BDX15056","2012-03-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","goblet","rim",FALSE,14.99,15.39,4.93,1.056,1.74,52.42,21.14,2.08,0.0309,0.16,0.0226,0.0826,0.0083,0.0062,0.0078,0.0038,0.0051,0.0643,0.0095,0.0095,0.0029,0.0022,1
"26","céramique","BDX15057","2012-03-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","urn","rim",FALSE,7.3,16.01,4.94,1.066,1.76,51.25,21.46,3.09,0.0385,0.18,0.0229,0.0598,0.0093,0.0056,0.0082,0.0032,0.0048,0.0581,0.0107,0.0095,0.0027,0.0021,1
"27","céramique","BDX15058","2012-03-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","rim",FALSE,14.63,15.92,5.26,0.998,1.68,51.98,20.06,2.78,0.0408,0.16,0.0224,0.0882,0.0085,0.0059,0.0075,0.0027,0.0068,0.0762,0.0095,0.0084,0.0025,0.0019,1
"28","céramique","BDX15059","2012-03-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",FALSE,14.94,13.05,4.47,1.138,2.09,54.64,21.56,2.19,0.0318,0.19,0.0268,0.0848,0.0107,0.0077,0.0092,0.0041,0.0084,0.0803,0.0131,0.0208,0.0145,0.0029,1
"29","céramique","BDX15060","2012-03-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","cup","rim",FALSE,7.06,16.54,5.39,0.92,2.08,49.38,20.55,4.08,0.0499,0.18,0.0201,0.0544,0.0112,0.0072,0.0085,0.0044,0.0055,0.0501,0.0102,0.011,0.0031,0.0032,1
"30","céramique","BDX15061","2012-03-13","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","12212","storage jar","rim",FALSE,10.43,15.14,4.46,1.022,2.03,52.39,19.41,4.89,0.047,0.19,0.0251,0.0642,0.0114,0.0082,0.0088,0.0042,0.0076,0.0557,0.0128,0.018,0.0108,0.0026,1
"31","céramique","BDX15445","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","loom weight","body",FALSE,5.57,16.43,6.27,0.948,1.98,50.15,19.82,3.06,0.0471,0.17,0.0206,0.0393,0.0109,0.0057,0.0165,0.0039,0.005,0.0393,0.0125,0.0115,0.0031,0.0026,2
"32","céramique","BDX15446","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","storage jar","rim",FALSE,13.96,19.83,4.65,0.92,1.91,49.35,19.53,2.91,0.0357,0.15,0.02,0.054,0.0099,0.0057,0.0084,0.0035,0.0059,0.0382,0.0102,0.0114,0.0027,0.0028,2
"33","céramique","BDX15447","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","storage jar","rim",TRUE,11.31,13.42,5.42,1.106,1.89,54.3,20.45,2.77,0.0342,0.11,0.0247,0.0499,0.0089,0.0048,0.0089,0.0033,0.0043,0.0403,0.0115,0.0108,0.0028,0.0016,2
"34","céramique","BDX15448","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","storage jar","rim",FALSE,13.54,15.68,5.2,0.998,1.92,52.04,21.01,2.48,0.0355,0.14,0.0213,0.0579,0.01,0.0058,0.0083,0.0024,0.0047,0.0478,0.0102,0.0078,0.0027,0.0026,2
"35","céramique","BDX15449","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","storage jar","fond",FALSE,12.03,17.48,5.19,0.969,1.86,50.81,20.57,2.64,0.0384,0.13,0.0213,0.0472,0.0102,0.0055,0.0084,0.003,0.0044,0.0376,0.0111,0.0089,0.0028,0.0028,2
"36","céramique","BDX15450","2012-07-11","ArAr (UMR 5138)","Mas de Moreno (Foz-Calanda, Teruel, Spain)","15205","pot","rim",FALSE,6.83,16.92,4.66,0.978,1.8,51.69,20.86,2.98,0.0377,0.14,0.0228,0.0393,0.01,0.005,0.008,0.0041,0.0072,0.0308,0.0111,0.0161,0.0031,0.0034,2
