"";"CaO";"Fe2O3";"TiO2";"K2O";"SiO2";"Al2O3";"MgO";"MnO";"P2O5";"Zr";"Sr";"Rb";"Zn";"Cr";"Ni";"La";"Ba";"V";"Ce";"Y";"Cu"
"tau";1,17760917703157;1,08420283056752;0,884763436462147;0,871055203838516;0,808108776259983;0,913931593849217;1,25770892945187;0,904217591542273;1,11581244013844;0,899390300764466;2,66568404053811;0,923662485406989;0,881914479918444;1,03722291517143;1,46490051970681;2,28175614924635;2,10369955280692;1,07491466540896;1,91723385459815;2,78200593156497;2,05192393944789
"var";0,411606090961377;0,360914722358119;0,216854993732551;0,204530247979767;0,142568318339312;0,241849092802372;0,449079154351451;0,233704283709499;0,379019231128677;0,229591350491097;0,740067443681928;0,249836300661221;0,214325104337289;0,331968030344914;0,526999917283096;0,696331237138457;0,670628790090848;0,355392489012384;0,638594913535685;0,750935805300897;0,66231785999836
"corr";0,974615163573047;0,976231585131333;0,985871639658982;0,991281827548072;0,990234939665458;0,987033159765505;0,977780397654918;0,984227400915505;0,986234695266801;0,976697494499327;0,114218880726258;0,983604496352471;0,978880894592731;0,984325401506479;0,978028544902118;0,651737646258271;0,184432547458894;0,968097398073626;0,536045090403007;0,418668090076848;0,8144162235001
